plot_id,lake_id,latitude,longitude,date,methane,flux_error,distance_from_water,distance_error
1,BTL,64.9189321,-147.82157,2018-07-21,0.5004,0.0288,0,0
2,BTL,64.9189167,-147.8216,2018-07-21,0.9305,0.0529,0,0
3,BTL,64.91889608,-147.8215459,2018-07-21,1.5023,0.0892,3.9,1.5
4,BTL,64.91891198,-147.8214533,2018-07-21,0.1884,0.0122,2.7,1.5
5,BTL,64.918889,-147.821389,2018-07-21,0.1751,0.0093,10.9,1.5
6,BTL,64.91885785,-147.8213424,2018-07-21,-0.1699,0.0087,13.5,1.5
7,BTL,64.91882098,-147.8213139,2018-07-21,0.0585,0.003,17.4,1.5
8,BTL,64.91878661,-147.8212441,2018-07-21,0.0305,0.0016,22.3,1.5
9,BTL,64.91874963,-147.8211999,2018-07-21,0.3051,0.0155,26.7,1.5
10,BTL,64.91873429,-147.8211862,2018-07-21,0.1939,0.0098,28.3,1.5
11,BTL,64.91872119,-147.821168,2018-07-21,0.2341,0.0119,29.5,1.5
12,BTL,64.91869307,-147.8211452,2018-07-21,0.2818,0.0143,33.3,1.5
13,BTL,64.91865078,-147.8211001,2018-07-21,-0.0169,0.0009,38.2,1.5
14,BTL,64.91861708,-147.8210454,2018-07-21,-0.0143,0.0008,42.8,1.5
15,BTL,64.91855526,-147.8209793,2018-07-21,-0.0088,0.0005,50.2,1.5
16,BTL,64.91852303,-147.8209428,2018-07-21,-0.0079,0.0007,56.4,1.5
17,BTL,64.91848044,-147.8208754,2018-07-21,-0.005,0.0004,60,1.5
18,BTL,64.91892189,-147.8206779,2018-07-21,-1.9373,0.1154,0.5,0.5
19,BTL,64.91889314,-147.8206175,2018-07-21,-0.2268,0.0133,5,1.5
20,BTL,64.91886204,-147.8205723,2018-07-21,0.3192,0.0187,9,1.5
21,BTL,64.91883648,-147.8205249,2018-07-21,0.1841,0.0108,13,1.5
22,BTL,64.9188021,-147.8204278,2018-07-21,0.1903,0.0112,19,1.5
23,BTL,64.9187625,-147.820301,2018-07-21,0.3873,0.0227,26.4,1.5
24,BTL,64.91872874,-147.8202154,2018-07-21,0.0942,0.0055,32,1.5
25,BTL,64.918664,-147.8200875,2018-07-21,-0.0076,0.0005,41.5,1.5
26,BTL,64.91864212,-147.8200376,2018-07-21,-0.007,0.0005,44.8,1.5
27,BTL,64.91860238,-147.8199561,2018-07-21,-0.0085,0.0005,50.7,1.5
28,BTL,64.91856662,-147.8198804,2018-07-21,-0.0052,0.0003,55,1.5
29,BTL,64.91921,-147.81955,2018-07-27,0.6212,0.0374,3.4,1.5
30,BTL,64.9192,-147.81945,2018-07-27,0.7857,0.0461,8.3,1.5
31,BTL,64.91917,-147.81944,2018-07-27,0.2999,0.0176,10.1,1.5
32,BTL,64.91916,-147.81938,2018-07-27,0.1895,0.0111,13,1.5
33,BTL,64.91913,-147.81932,2018-07-27,0.0372,0.0022,17.4,1.5
34,BTL,64.91911,-147.81923,2018-07-27,0.1159,0.007,22.2,1.5
35,BTL,64.91912,-147.81913,2018-07-27,0.0532,0.0032,25.7,1.5
36,BTL,64.9191,-147.81902,2018-07-27,0.1707,0.01,31.4,1.5
37,BTL,64.9190512,-147.8199,2018-07-27,0.0509,0.003,36.2,1.5
38,BTL,64.91898762,-147.8197921,2018-07-27,-0.0166,0.0013,46.2,1.5
39,BTL,64.91892,-147.81966,2018-07-27,-0.0214,0.0013,57,1.5
40,BTL,64.91869,-147.82377,2018-07-22,0.0856,0.0052,0,0
